cust,monthly_bill,tax_body,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
2339,1522.96,COUNTY,VINEYARD,18.4,0,6,12.4,3,2,0,0,1372.96,150
2339,1522.96,COUNTY,VINEYARD,18.4,0,6,12.4,3,2,0,0,1372.96,150
2339,1522.96,COUNTY,VINEYARD,18.4,0,6,12.4,3,2,0,0,1372.96,150
2339,1522.96,COUNTY,VINEYARD,18.4,0,6,12.4,3,2,0,0,1372.96,150
2342,487.05,COUNTY,WINERY,2.88,0,1.44,1.44,1,0,1,0,162.35,0
2342,487.05,COUNTY,WINERY,2.88,0,1.44,1.44,1,0,1,0,162.35,0
2372,199.35,COUNTY,WINERY,1.76,0,0.32,1.44,0,0,1,0,98.42,100.93
2372,199.35,COUNTY,WINERY,1.76,0,0.32,1.44,0,0,1,0,98.42,100.93
2372,199.35,COUNTY,WINERY,1.76,0,0.32,1.44,0,0,1,0,98.42,100.93
2372,199.35,COUNTY,WINERY,1.76,0,0.32,1.44,0,0,1,0,98.42,100.93
2678,293.61,S,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2678,293.61,S,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2678,293.61,S,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2678,293.61,S,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2678,293.61,S,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2678,293.61,S,HOME IMPRO,2.88,0,1.44,1.44,1,0,1,0,293.61,0
2754,1227.47,C,MULTIFAMIL,8.4,0.96,6,1.44,3,2,0,68.91,1158.56,0
2754,1227.47,C,MULTIFAMIL,8.4,0.96,6,1.44,3,2,0,68.91,1158.56,0
2754,1227.47,C,MULTIFAMIL,8.4,0.96,6,1.44,3,2,0,68.91,1158.56,0
2754,1227.47,C,MULTIFAMIL,8.4,0.96,6,1.44,3,2,0,68.91,1158.56,0
2754,1227.47,C,MULTIFAMIL,8.4,0.96,6,1.44,3,2,0,68.91,1158.56,0
2810,67.49,Y,PRESCHOOL,1.28,0.48,0.32,0.48,0,0,1,0,67.49,0
2810,67.49,Y,PRESCHOOL,1.28,0.48,0.32,0.48,0,0,1,0,67.49,0
2810,67.49,Y,PRESCHOOL,1.28,0.48,0.32,0.48,0,0,1,0,67.49,0
3159,89.71,COUNTY,WINERY,0.8,0,0.32,0.48,0,0,1,0,89.71,0
3159,89.71,COUNTY,WINERY,0.8,0,0.32,0.48,0,0,1,0,89.71,0
3630,134.57,COUNTY,VINEYARD,0.96,0,0.48,0.48,0,0,1,0,134.57,0
3630,134.57,COUNTY,VINEYARD,0.96,0,0.48,0.48,0,0,1,0,134.57,0
3723,195.74,S,MEDICAL,2.88,0.96,0.96,0.96,0,0,1,0,97.87,0
3723,195.74,S,MEDICAL,2.88,0.96,0.96,0.96,0,0,1,0,97.87,0
3723,195.74,S,MEDICAL,2.88,0.96,0.96,0.96,0,0,1,0,97.87,0
3842,632.56,COUNTY,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3842,632.56,COUNTY,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3842,632.56,COUNTY,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3842,632.56,COUNTY,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3842,632.56,COUNTY,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3842,632.56,COUNTY,WINERY,13.280000000000001,0.8,2,10.48,1,1,0,0,482.56,150
3844,1005.67,COUNTY,MIXED USE,6.08,0.64,4,1.44,2,1,0,0,1005.67,0
3844,1005.67,COUNTY,MIXED USE,6.08,0.64,4,1.44,2,1,0,0,1005.67,0
3844,1005.67,COUNTY,MIXED USE,6.08,0.64,4,1.44,2,1,0,0,1005.67,0
