cust,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
8041,LODGING,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
8045,WINERY,2.56,0.96,0.64,0.96,0,0,1,0,179.42,0
8063,GROCERY,58,2.56,18,37.44,9,6,0,0,2921.8500000000004,225
8141,WINERY,3.92,0.48,2,1.44,1,1,0,0,540.19,0
8212,MULTIFAMIL,5.76,1.44,0.96,3.36,0,0,1,0,32.62,73.41
8213,DUPLEX,1.76,0.48,0.32,0.96,0,0,1,0,65.24,0
8327,WINERY,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
8626,WINERY,1.28,0.48,0.32,0.48,0,0,1,0,89.71,0
8657,RESTAURANT,1.44,0,0.48,0.96,0,0,1,0,97.87,0
8747,WINERY,4.4,0.48,2,1.92,1,1,0,0,482.56,100.93
8758,WINERY,5.4399999999999995,0,4,1.44,2,1,0,0,1005.67,75
8800,MULTIFAMIL,2.88,0.48,1.44,0.96,1,0,0,0,304.02,0
8818,WINERY,2.4,0.48,0.96,0.96,0,0,1,0,269.14,100.93
8883,CONTRACTOR,2.48,0,2,0.48,1,1,0,0,482.56,0
8959,WINERY,4.96,0.96,2,2,1,1,0,0,482.56,361.92
9090,WINERY,1.44,0,0.48,0.96,0,0,1,0,101.24,75.92
9121,WINERY,40.400000000000006,0.48,6,33.92,3,2,0,0,1298.25,400.93
9195,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
9349,WINERY,0.64,0,0.16,0.48,0,0,1,0,72.9,0
9368,WINERY,8.96,0.96,4,4,2,1,0,0,890.4,667.81
9376,RESTAURANT,50.32000000000001,44.32000000000001,0,6,0,0,1,454.87,0,730.46
9481,RESTAURANT,33.44,0,16,17.439999999999998,8,5,0,0,3052.32,150
9784,VINEYARD,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
9819,RETAIL,0.64,0,0.16,0.48,0,0,1,0,32.62,0
9846,COMMUNITY,0.96,0,0.48,0.48,0,0,1,0,97.87,0
9850,RETAIL,1.92,0,0.48,1.44,0,0,1,0,101.24,151.84
9906,CONTRACTOR,4,0,4,0,2,1,0,0,1005.67,0
9910,POSTOFFICE,0.64,0,0.16,0.48,0,0,1,0,44.86,0
9920,MULTIFAMIL,26.4,0.48,24,1.92,12,8,0,0,4634.24,0
9928,CHURCH,1.92,0.48,0.96,0.48,0,0,1,0,134.57,0
9929,LODGING,16,0,16,0,8,5,0,0,1627.98,0
9964,MEDICAL,2.4,0.96,0.96,0.48,0,0,1,68.91,207.86,0
10065,WINERY,16.4,2.4,6,8,3,2,1,91.52,1298.25,1335.62
10067,WINERY,34,0,16,18,8,5,0,0,3873.26,3310.08
10071,WINERY,20,4,6,10,3,2,1,762.37,1644.35,915.85
10076,LODGING-FW,18.880000000000003,0.96,16,1.92,8,5,0,91.52,3412.2,100.93
10082,MULTIFAMIL,2.88,0,1.44,1.44,1,0,1,0,101.24,0
10083,UTILITY,9.44,0,4,5.4399999999999995,2,1,0,0,890.4,667.81
10103,MULTIFAMIL,2.96,0,2,0.96,1,1,0,0,428.24,0
10106,LODGING,19.36,0.48,16,2.88,8,5,0,0,3126.06,228
10112,CHURCH,2.88,1.44,0.96,0.48,0,0,1,0,101.24,0
10139,STRIP MALL,11.84,0.48,8,3.36,4,3,0,0,1337.86,73.41
10144,MULTIFAMIL,7.2,1.44,2.88,2.88,1,1,1,0,202.68,0
10145,MOBILEHOME,206.24,89.28,30.560000000000002,86.4,15,10,1,0,236.46,0
10154,LODGING,37.919999999999995,0.48,36,1.44,18,12,0,0,7194.63,0
10161,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,140.51,0
10174,RETAIL,3.44,0,2,1.44,1,1,0,0,439.46,0
10185,ENTERTAINM,0.8,0,0.32,0.48,0,0,1,0,65.25,0
10209,POSTOFFICE,2.4,0.48,0.48,1.44,0,0,1,0,103.93,76
10222,OFFICE BLD,1.6,0,0.64,0.96,0,0,1,0,138.56,0
10224,LODGING,10.4,0.96,8,1.44,4,3,0,68.91,1627.98,0
10227,MEDICAL,1.28,0.48,0.32,0.48,0,0,1,0,69.28,0
10233,MOBILEHOME,94.88,1.44,23.36,70.08,12,8,0,0,33.78,0
10238,MULTIFAMIL,0.8,0,0.32,0.48,0,0,1,0,33.78,0
10247,GROCERY,79.36,14.400000000000002,60,4.96,30,20,0,0,7194.63,610.5
10248,AUTO,10.48,0,4,6.48,2,1,0,0,668.93,75
10250,LODGING-FW,39.839999999999996,1.44,36,2.4,18,12,0,0,5667.03,73.41
10255,WINERY,31.439999999999998,0,24,7.4399999999999995,12,8,0,0,6427.98,1233.26
10257,AUTO,0.48,0,0.48,0,0,0,1,0,97.87,0
10260,OFFICE BLD,1.76,0.48,0.32,0.96,0,0,1,0,34.64,0
10262,OFFICE BLD,1.44,0,0.96,0.48,0,0,1,0,97.87,0
10263,RESTAURANT,32,0,32,0,16,11,0,0,5115.88,0
10265,GROCERY,347.68,28.800000000000004,156,162.88,78,52,0,0,24514.109999999997,746.8199999999999
10271,AUTO,3.44,0,2,1.44,1,1,0,0,363.91,0
10289,HOME IMPRO,21.439999999999998,0,4,17.439999999999998,2,1,0,0,668.93,150
10295,RETAIL,3.44,0,2,1.44,1,1,0,0,363.91,0
10301,POSTOFFICE,1.44,0,0.48,0.96,0,0,1,0,97.87,73.41
10306,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,97.87,0
10310,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,97.87,0
10316,CONTRACTOR,2,0,2,0,1,1,0,0,363.91,0
10317,AUTO,9.92,0.96,2,6.96,1,1,0,66.56,363.91,75
10318,UTILITY,4.48,0,4,0.48,2,1,0,0,668.93,0
10321,AUTO,9.92,0.48,4,5.4399999999999995,2,1,0,0,668.93,75
10323,MULTIFAMIL,17.919999999999998,5.279999999999999,9.76,2.88,5,3,0,0,766.8,0
10325,COMMUNITY,1.44,0.48,0.48,0.48,0,0,1,0,97.87,0
10327,VINEYARD,0.96,0,0.48,0.48,0,0,1,0,97.87,0
10328,BAKERY,43.04,8.64,16,18.4,8,5,1,0,2557.94,296.82
10333,MULTIFAMIL,2.4,0.48,0.96,0.96,0,0,1,0,195.75,0
10334,GROCERY,3.92,0.48,2,1.44,1,1,0,0,363.91,0
10335,SCHOOL,3.92,0.48,2,1.44,1,1,0,0,363.91,0
10340,OFFICE BLD,1.44,0.48,0.48,0.48,0,0,1,0,97.87,0
10342,MEDICAL,5.28,0.48,3.84,0.96,2,1,0,0,391.48,0
10343,HOA,26,4,12,10,6,4,1,454.87,1947.9,805.46
10344,MOBILEHOME,139.51999999999998,0,34.4,105.11999999999999,17,11,0,0,32.62,0
10345,INDUSTRIAL,5.4399999999999995,0,4,1.44,2,1,0,0,668.93,0
10346,WINERY,2.48,0,2,0.48,1,1,0,0,363.91,0
10347,NRSG HOME,38.4,0.96,36,1.44,18,12,0,66.56,5910.75,0
10348,MULTIFAMIL,8,0,4,4,2,1,0,0,668.93,501.7
10349,MULTIFAMIL,3.44,0.48,2,0.96,1,1,0,0,363.91,0
10355,OFFICE BLD,5.44,0.48,4,0.96,2,1,0,0,668.93,0
10366,MULTIFAMIL,2.4,0,2.4,0,1,1,0,0,101.34,0
10368,LODGING-FW,10.879999999999999,2.88,4,4,2,1,1,0,890.4,667.81
10373,CHURCH,5.52,1.12,2,2.4,1,1,1,0,363.91,0
10374,COMMUNITY,2.96,0,2,0.96,1,1,0,0,363.91,0
10378,CHURCH,3.44,0.96,2,0.48,1,1,0,66.56,363.91,0
10383,OFFICE BLD,54.48,0,54,0.48,27,18,0,0,8412.210000000001,0
10384,CONTRACTOR,2.96,0,2,0.96,1,1,0,0,363.91,0
10390,CHURCH,1.44,0.48,0.48,0.48,0,0,1,0,101.24,0
10394,MOBILEHOME,159.68,5.279999999999999,40.16,114.24,20,13,0,0,134.99,0
10395,LODGING,21.28,0.32,16,4.96,8,5,0,0,3052.32,75
10400,OFFICE BLD,0.96,0,0.48,0.48,0,0,1,0,101.24,0
10403,STRIP MALL,17.92,0,1.44,16.48,1,0,1,0,101.24,2289.26
10410,LODGING-FW,1.44,0.48,0.48,0.48,0,0,1,0,103.93,0
10411,LODGING,31.68,1.44,3.36,26.88,2,1,1,0,103.93,150
10418,CHURCH,1.44,0.48,0.48,0.48,0,0,1,0,101.24,0
10432,NRSG HOME,19.360000000000003,1.92,16,1.44,8,5,0,68.84,3160.6,0
10435,VINEYARD,5.4399999999999995,0,4,1.44,2,1,0,0,890.4,0
10438,GROUP HOME,14.000000000000002,2.56,6,5.440000000000001,3,2,1,0,1298.25,667.81
10442,INDUSTRIAL,9.440000000000001,0,4,5.440000000000001,2,1,0,0,917.47,667.81
10445,WINERY,15.44,0,6,9.44,3,2,0,0,1298.25,150
10448,HOSPITAL,12.48,0,12.48,0,6,4,0,0,44.86,0
10453,MOBILEHOME,3.92,0.48,2,1.44,1,1,0,0,482.56,0
10459,HOSPITAL,2.48,0,2,0.48,1,1,0,0,482.56,0
10461,WINERY,6.24,1.28,4,0.96,2,1,0,0,890.4,0
10471,POLICEFIRE,9.440000000000001,0.96,4,4.48,2,1,0,0,890.4,75
10475,WINERY,10.96,0,4,6.96,2,1,0,0,890.4,75
10480,SCHOOL,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
10483,VINEYARD,5.4399999999999995,0,4,1.44,2,1,0,0,890.4,0
10487,CHURCH,3.92,0.48,2,1.44,1,1,0,0,482.56,0
