cust,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
14553,CHURCH,1.44,0.48,0.48,0.48,0,0,1,0,103.93,0
14590,WINERY,16.96,0,6,10.96,3,2,0,0,2133.3,150
14652,RESTAURANT,46.08,8.64,16,21.439999999999998,8,5,1,0,2557.94,225
14682,VINEYARD,1.12,0.48,0.16,0.48,0,0,1,0,44.86,0
14698,LODGING-FW,1.76,0.48,0.32,0.96,0,0,1,0,89.71,0
14772,WINERY,1.28,0.48,0.32,0.48,0,0,1,0,69.28,0
14793,LODGING,3.36,0.48,1.44,1.44,1,0,1,0,103.93,0
14849,WINERY,2.88,0.96,0.96,0.96,0,0,1,0,103.93,76
14953,MULTIFAMIL,6.08,0.64,4,1.44,2,1,0,0,890.4,0
14989,LODGING-FW,1.44,0.48,0.48,0.48,0,0,1,0,103.93,0
15156,OFFICE BLD,0.64,0,0.16,0.48,0,0,1,0,32.62,0
15204,POLICEFIRE,0.8,0,0.32,0.48,0,0,1,0,89.71,0
15224,SCHOOL,6.08,5.12,0,0.96,0,0,1,0,0,0
15226,WINERY,2.08,0.48,0.64,0.96,0,0,1,0,179.42,0
15246,WINERY,6,0,2,4,1,1,0,0,482.56,688.11
15259,VINEYARD,8.4,0,6.48,1.92,3,2,0,0,1071.8200000000002,0
15290,MIXED USE,1.44,0.48,0.48,0.48,0,0,1,0,97.87,0
15344,WINERY,116.48,12,24,80.48,12,8,1,1765.62,8383.78,1385.33
15408,VINEYARD,3.44,0.96,2,0.48,1,1,0,91.52,540.19,0
15431,VINEYARD,0.48,0.48,0,0,0,0,1,0,0,0
15460,RESTAURANT,2.88,0,1.44,1.44,1,0,1,0,101.24,0
15481,WINERY,12.96,0,6,6.96,3,2,0,0,1298.25,75
15511,LODGING,5.92,0.48,4,1.44,2,1,0,0,668.93,0
15548,RESTAURANT,1.92,0,0.96,0.96,0,0,1,0,195.74,0
15640,LODGING,4.32,0.96,1.92,1.44,1,1,0,0,415.72,0
15641,MULTIFAMIL,1.6,0,0.64,0.96,0,0,1,0,44.86,0
15650,MINI MART,4,0,4,0,2,1,0,0,813.98,0
15672,MULTIFAMIL,3.84,0.48,1.92,1.44,1,1,0,0,97.87,0
15673,MULTIFAMIL,4.32,0.48,1.92,1.92,1,1,0,0,97.87,0
15678,UTILITY,2.48,0,2,0.48,1,1,0,0,482.56,0
15833,DELI/CAFE,20.4,11.52,2,6.88,1,1,1,0,439.46,151
15850,COMMUNITY,1.92,0,0.96,0.96,0,0,1,0,195.74,0
15882,MULTIFAMIL,3.36,0.48,1.44,1.44,1,0,1,0,195.74,0
15940,HOME IMPRO,0.8,0,0.32,0.48,0,0,1,0,65.25,0
15996,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,696.01,75
16032,AUTO,0.96,0,0.48,0.48,0,0,1,0,97.87,0
16189,WINERY,13.44,0,4,9.44,2,1,0,0,890.4,150
16319,WINERY,2.88,0,0.48,2.4,0,0,1,0,103.93,76
16564,WINERY,0.8,0,0.32,0.48,0,0,1,0,89.71,0
16565,UTILITY,1.12,0.48,0.16,0.48,0,0,1,0,34.64,0
16605,WINERY,5.4399999999999995,0,4,1.44,2,1,0,0,890.4,0
16607,WINERY,1.44,0,0.48,0.96,0,0,1,0,97.87,73.41
16628,RESTAURANT,2.24,0.32,0.96,0.96,0,0,1,0,103.93,0
16795,MULTIFAMIL,2.88,0.96,0.96,0.96,0,0,1,0,195.74,0
17255,BAR NO FW,3.92,0,2,1.92,1,1,0,0,439.46,76
17422,BAKERY,3.44,0,2,1.44,1,1,0,0,439.46,0
17965,RESTAURANT,157.28,11.52,104,41.760000000000005,52,35,0,0,19650.18,5145.14
18015,WINERY,4.24,0,2.3200000000000003,1.92,1,1,0,0,572.28,100.93
18599,RESTAURANT,4.8,2.88,0.48,1.44,0,0,1,0,103.93,76
19151,MULTIFAMIL,16.88,0,14,2.88,7,5,0,0,2808.44,0
19206,RESTAURANT,2.4,0,1.44,0.96,1,0,0,0,311.79,0
20233,MULTIFAMIL,8.16,0.96,4.800000000000001,2.4,2,2,0,0,1039.3000000000002,0
21438,RETAIL,1.12,0.48,0.16,0.48,0,0,1,0,34.64,0
21896,RESTAURANT,2.7199999999999998,0.32,0.96,1.44,0,0,1,0,103.93,76
23489,LODGING,5.92,0.48,4,1.44,2,1,0,0,813.98,0
23821,LODGING-FW,3.84,0.48,1.92,1.44,1,1,0,0,103.93,0
24144,UTILITY,1.44,0.48,0.48,0.48,0,0,1,0,97.87,0
24664,WINERY,6.960000000000001,0,2,4.960000000000001,1,1,0,0,482.56,667.81
25255,MULTIFAMIL,18.88,0,16,2.88,8,5,0,0,3255.96,0
25969,RESTAURANT,45.76,0,40,5.76,20,13,0,0,7849.07,128.74
26052,LODGING-FW,3.84,0,2.4,1.44,1,1,0,0,207.86,0
26600,RESTAURANT,3.52,2.56,0.48,0.48,0,0,1,0,103.93,0
26948,POLICEFIRE,2.4,0.48,0.96,0.96,0,0,1,0,101.24,0
27143,MULTIFAMIL,3.36,0.48,1.92,0.96,1,1,0,0,101.34,0
28630,DELI/CAFE,9.44,0,2,7.4399999999999995,1,1,0,0,439.46,75
29563,RESTAURANT,5.279999999999999,3.84,1.44,0,1,0,0,0,103.93,0
30883,RETAIL,1.12,0.48,0.16,0.48,0,0,1,0,58.27,0
30927,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,101.24,0
30930,PRESCHOOL,1.44,0,0.96,0.48,0,0,1,0,207.86,0
30931,RETAIL,0.64,0,0.16,0.48,0,0,1,0,34.64,0
31126,ENTERTAINM,0.8,0,0.32,0.48,0,0,1,0,69.28,0
31133,BAKERY,1.12,0.48,0.16,0.48,0,0,1,0,34.64,0
31134,MULTIFAMIL,1.5999999999999999,0.96,0.16,0.48,0,0,1,68.91,33.78,0
31160,RESTAURANT,8,0,4,4,2,1,0,0,799.35,599.52
31230,CONTRACTOR,2,0,2,0,1,1,0,0,482.56,0
31241,GROCERY,1.28,0.32,0.48,0.48,0,0,1,0,103.93,0
31249,LODGING,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
31304,FOURPLEX,3.04,0.48,0.64,1.92,0,0,1,0,32.62,0
31364,OFFICE BLD,1.44,0,0.48,0.96,0,0,1,0,97.87,73.41
31550,WINERY,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
31573,VINEYARD,4.640000000000001,4,0.16,0.48,0,0,1,605.47,44.86,0
31588,WINERY,1.92,0.48,0.48,0.96,0,0,1,0,103.93,76
31591,LANDSCAPER,2,0,2,0,1,1,0,0,482.56,0
31593,CONTRACTOR,4,0,4,0,2,1,0,0,890.4,0
31607,MULTIFAMIL,1.92,0.48,0.96,0.48,0,0,1,0,101.34,0
31644,MULTIFAMIL,2.88,0.96,0.96,0.96,0,0,1,66.56,97.87,73.41
31660,MIXED USE,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
31675,LODGING-FW,1.44,0.48,0.48,0.48,0,0,1,0,134.57,0
31676,WINERY,8,0,2,6,1,1,0,0,482.56,973.69
31679,WINERY,0.8,0,0.32,0.48,0,0,1,0,65.25,0
