cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
3844,1005.67,1,0.48,0.48,Recycle,1,0,COUNTY,MIXED USE
3844,1005.67,1,0.48,0.48,Recycle,1,0,COUNTY,MIXED USE
4124,110.64,1,0.48,0.48,Recycle,1,0,C,
4124,110.64,1,0.48,0.48,Recycle,1,76,C,
4124,110.64,1,0.48,0.48,Compost,1,0,C,
4126,597.92,1,2,2,Garbage,1,597.92,COUNTY,WINERY
4126,597.92,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
4126,597.92,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
4196,2798.11,1,6,6,Garbage,1,1644.35,COUNTY,WINERY
4196,2798.11,1,4,4,Recycle,1,840.85,COUNTY,WINERY
4196,2798.11,1,4,4,Recycle,1,75,COUNTY,WINERY
4196,2798.11,1,6,6,Recycle,1,75,COUNTY,WINERY
4226,632.56,1,2,2,Garbage,1,482.56,COUNTY,WINERY
4226,632.56,2,0.48,0.96,Recycle,1,0,COUNTY,WINERY
4226,632.56,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
4226,632.56,1,4,4,Recycle,1,75,COUNTY,WINERY
4226,632.56,1,6,6,Recycle,1,75,COUNTY,WINERY
4247,103.92,1,0.48,0.48,Compost,1,0,C,
4247,103.92,1,0.48,0.48,Recycle,1,0,C,
4260,1150.37,1,2,2,Garbage,1,482.56,COUNTY,WINERY
4260,1150.37,1,4,4,Recycle,1,667.81,COUNTY,WINERY
4308,2358.3,1,6,6,Garbage,1,2133.3,COUNTY,WINERY
4308,2358.3,2,0.48,0.96,Recycle,1,0,COUNTY,WINERY
4308,2358.3,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4308,2358.3,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
4308,2358.3,1,4,4,Recycle,1,75,COUNTY,WINERY
4308,2358.3,1,6,12,Recycle,2,75,COUNTY,WINERY
4308,2358.3,1,6,12,Recycle,2,75,COUNTY,WINERY
4420,103.93,1,0.48,0.48,Recycle,1,0,C,LODGING-FW
4420,103.93,1,0.48,0.48,Recycle,1,0,C,LODGING-FW
4445,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
