cust,monthly_bill,qty,size,weekly_yards,commodity,pickups,bin_amount,tax_body,biz_type
10145,6451.98,185,0.48,88.8,Compost,1,0,C,MOBILEHOME
10145,6451.98,177,0.48,84.96,Recycle,1,0,C,MOBILEHOME
10145,6451.98,1,0.48,0.48,Recycle,1,0,C,MOBILEHOME
10145,6451.98,1,0.48,0.48,Recycle,1,0,C,MOBILEHOME
10145,6451.98,1,0.48,0.48,Recycle,1,0,C,MOBILEHOME
10145,6451.98,1,0.48,0.48,Compost,1,0,C,MOBILEHOME
10154,2398.21,1,4,12,Garbage,3,2398.21,C,LODGING
10154,2398.21,1,4,12,Garbage,3,2398.21,C,LODGING
10154,2398.21,1,4,12,Garbage,3,2398.21,C,LODGING
10154,2398.21,3,0.48,1.44,Recycle,1,0,C,LODGING
10154,2398.21,1,0.48,0.48,Compost,1,0,C,LODGING
10160,439.46,1,2,2,Garbage,1,439.46,C,
10161,140.51,1,0.48,0.48,Recycle,1,0,C,OFFICE BLD
10174,439.46,1,2,2,Garbage,1,439.46,C,RETAIL
10174,439.46,1,0.48,0.48,Recycle,1,0,C,RETAIL
10174,439.46,1,0.48,0.48,Recycle,1,0,C,RETAIL
10174,439.46,1,0.48,0.48,Recycle,1,0,C,RETAIL
10185,65.25,1,0.48,0.48,Recycle,1,0,S,ENTERTAINM
10209,255.93,1,0.48,0.48,Recycle,1,0,C,POSTOFFICE
10209,255.93,1,0.48,0.48,Compost,1,0,C,POSTOFFICE
10209,255.93,2,0.48,0.96,Recycle,1,76,C,POSTOFFICE
10222,138.56,1,0.48,0.48,Recycle,1,0,C,OFFICE BLD
10222,138.56,1,0.48,0.48,Recycle,1,0,C,OFFICE BLD
10224,882.9,1,2,4,Garbage,2,813.99,C,LODGING
10224,882.9,1,2,4,Garbage,2,813.99,C,LODGING
10224,882.9,1,0.48,0.48,Compost,1,0,C,LODGING
10224,882.9,1,0.48,0.48,Compost,1,68.91,C,LODGING
10224,882.9,1,0.48,0.48,Recycle,1,0,C,LODGING
10224,882.9,1,0.48,0.48,Recycle,1,0,C,LODGING
10224,882.9,1,0.48,0.48,Recycle,1,0,C,LODGING
10227,69.28,1,0.48,0.48,Recycle,1,0,C,MEDICAL
10227,69.28,1,0.48,0.48,Compost,1,0,C,MEDICAL
10233,4931.88,146,0.48,70.08,Recycle,1,0,C,MOBILEHOME
10233,4931.88,3,0.48,1.44,Compost,1,0,C,MOBILEHOME
10238,67.56,1,0.48,0.48,Recycle,1,0,C,MULTIFAMIL
10247,3008.71,1,4,12,Garbage,3,2398.21,C,GROCERY
10247,3008.71,1,4,12,Garbage,3,2398.21,C,GROCERY
10247,3008.71,1,4,12,Garbage,3,2398.21,C,GROCERY
10247,3008.71,1,0.48,0.48,Recycle,1,0,C,GROCERY
10247,3008.71,1,0.48,0.48,Recycle,1,0,C,GROCERY
10247,3008.71,1,4,4,Recycle,1,610.5,C,GROCERY
10247,3008.71,1,6,12,Garbage,2,0,C,GROCERY
10247,3008.71,1,6,12,Garbage,2,0,C,GROCERY
10248,743.93,1,4,4,Garbage,1,668.93,S,AUTO
10248,743.93,1,0.48,0.48,Recycle,1,0,S,AUTO
10248,743.93,1,6,6,Recycle,1,75,S,AUTO
10250,2035.83,1,4,12,Garbage,3,1889.01,S,LODGING-FW
10250,2035.83,1,4,12,Garbage,3,1889.01,S,LODGING-FW
10250,2035.83,1,4,12,Garbage,3,1889.01,S,LODGING-FW
10250,2035.83,1,0.48,0.48,Recycle,1,0,S,LODGING-FW
10250,2035.83,1,0.48,0.48,Recycle,1,0,S,LODGING-FW
10250,2035.83,1,0.48,0.48,Recycle,1,0,S,LODGING-FW
10250,2035.83,2,0.48,0.96,Recycle,1,73.41,S,LODGING-FW
10250,2035.83,3,0.48,1.44,Compost,1,0,S,LODGING-FW
10255,4567.25,1,6,12,Garbage,2,3213.99,COUNTY,WINERY
10255,4567.25,1,6,12,Garbage,2,3213.99,COUNTY,WINERY
10255,4567.25,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
10255,4567.25,1,6,6,Recycle,1,1233.26,COUNTY,WINERY
10260,69.28,1,0.48,0.48,Recycle,1,0,C,OFFICE BLD
10260,69.28,1,0.48,0.48,Recycle,1,0,C,OFFICE BLD
10260,69.28,1,0.48,0.48,Compost,1,0,C,OFFICE BLD
10262,195.74,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
10263,1278.97,1,2,8,Garbage,4,1278.97,S,RESTAURANT
10263,1278.97,1,2,8,Garbage,4,1278.97,S,RESTAURANT
10263,1278.97,1,2,8,Garbage,4,1278.97,S,RESTAURANT
10263,1278.97,1,2,8,Garbage,4,1278.97,S,RESTAURANT
10265,6347.58,1,6,30,Garbage,5,4634.19,S,GROCERY
10265,6347.58,1,6,30,Garbage,5,4634.19,S,GROCERY
10265,6347.58,1,6,30,Garbage,5,4634.19,S,GROCERY
10265,6347.58,1,6,30,Garbage,5,4634.19,S,GROCERY
10265,6347.58,1,6,30,Garbage,5,4634.19,S,GROCERY
10265,6347.58,1,6,6,Garbage,1,1343.16,S,GROCERY
10265,6347.58,1,0.48,0.48,Recycle,1,0,S,GROCERY
10265,6347.58,1,0.48,0.48,Recycle,1,0,S,GROCERY
10265,6347.58,1,0.48,0.48,Recycle,1,0,S,GROCERY
10265,6347.58,1,0.48,0.48,Recycle,1,73.41,S,GROCERY
10265,6347.58,2,0.48,0.96,Recycle,1,73.41,S,GROCERY
10265,6347.58,1,6,24,Recycle,4,75,S,GROCERY
10265,6347.58,1,6,24,Recycle,4,75,S,GROCERY
10265,6347.58,1,6,24,Recycle,4,75,S,GROCERY
10265,6347.58,1,6,24,Recycle,4,75,S,GROCERY
10265,6347.58,1,4,16,Recycle,4,75,S,GROCERY
10265,6347.58,1,4,16,Recycle,4,75,S,GROCERY
10265,6347.58,1,4,16,Recycle,4,75,S,GROCERY
10265,6347.58,1,4,16,Recycle,4,75,S,GROCERY
10271,363.91,1,2,2,Garbage,1,363.91,S,AUTO
10271,363.91,3,0.48,1.44,Recycle,1,0,S,AUTO
10289,743.93,1,4,4,Garbage,1,668.93,S,HOME IMPRO
10289,743.93,3,0.48,1.44,Recycle,1,0,S,HOME IMPRO
10289,743.93,1,4,8,Recycle,2,75,S,HOME IMPRO
10289,743.93,1,4,8,Recycle,2,75,S,HOME IMPRO
10295,363.91,1,2,2,Garbage,1,363.91,S,RETAIL
10295,363.91,1,0.48,0.48,Recycle,1,0,S,RETAIL
10295,363.91,1,0.48,0.48,Recycle,1,0,S,RETAIL
10295,363.91,1,0.48,0.48,Recycle,1,0,S,RETAIL
10301,171.28,1,0.48,0.48,Recycle,1,0,S,POSTOFFICE
10301,171.28,1,0.48,0.48,Recycle,1,73.41,S,POSTOFFICE
10306,97.87,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
10310,97.87,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
10316,363.91,1,2,2,Garbage,1,363.91,S,CONTRACTOR
10317,505.47,1,2,2,Garbage,1,363.91,S,AUTO
10317,505.47,1,6,6,Recycle,1,75,S,AUTO
10317,505.47,2,0.48,0.96,Recycle,1,0,S,AUTO
10317,505.47,1,0.48,0.48,Compost,1,0,S,AUTO
10317,505.47,1,0.48,0.48,Compost,1,66.56,S,AUTO
10318,668.93,1,4,4,Garbage,1,668.93,S,UTILITY
10318,668.93,1,0.48,0.48,Recycle,1,0,S,UTILITY
10321,743.93,1,4,4,Garbage,1,668.93,S,AUTO
10321,743.93,1,4,4,Recycle,1,75,S,AUTO
10321,743.93,3,0.48,1.44,Recycle,1,0,S,AUTO
10321,743.93,1,0.48,0.48,Compost,1,0,S,AUTO
10323,1843.37,1,4,4,Garbage,1,668.93,S,MULTIFAMIL
10323,1843.37,6,0.48,2.88,Recycle,1,0,S,MULTIFAMIL
10323,1843.37,11,0.48,5.279999999999999,Compost,1,0,S,MULTIFAMIL
10325,97.87,1,0.48,0.48,Recycle,1,0,S,COMMUNITY
10325,97.87,1,0.48,0.48,Compost,1,0,S,COMMUNITY
10327,97.87,1,0.48,0.48,Recycle,1,0,S,VINEYARD
10328,1500.79,1,4,8,Garbage,2,1278.97,S,BAKERY
10328,1500.79,1,4,8,Garbage,2,1278.97,S,BAKERY
10328,1500.79,1,0.48,0.48,Recycle,1,0,S,BAKERY
10328,1500.79,1,0.48,0.48,Recycle,1,0,S,BAKERY
10328,1500.79,1,0.48,0.48,Recycle,1,0,S,BAKERY
10328,1500.79,1,0.48,0.48,Recycle,1,73.41,S,BAKERY
10328,1500.79,1,0.48,0.48,Recycle,1,73.41,S,BAKERY
10328,1500.79,1,4,8,Recycle,2,75,S,BAKERY
10328,1500.79,1,4,8,Recycle,2,75,S,BAKERY
10333,195.75,1,0.48,0.48,Compost,1,0,S,MULTIFAMIL
10333,195.75,1,0.48,0.48,Recycle,1,0,S,MULTIFAMIL
10333,195.75,1,0.48,0.48,Recycle,1,0,S,MULTIFAMIL
10334,363.91,1,2,2,Garbage,1,363.91,S,GROCERY
10334,363.91,1,0.48,0.48,Compost,1,0,S,GROCERY
10334,363.91,3,0.48,1.44,Recycle,1,0,S,GROCERY
10335,363.91,1,2,2,Garbage,1,363.91,S,SCHOOL
10335,363.91,1,0.48,0.48,Compost,1,0,S,SCHOOL
10335,363.91,1,0.48,0.48,Recycle,1,0,S,SCHOOL
10335,363.91,1,0.48,0.48,Recycle,1,0,S,SCHOOL
10335,363.91,1,0.48,0.48,Recycle,1,0,S,SCHOOL
10340,97.87,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
10340,97.87,1,0.48,0.48,Compost,1,0,S,OFFICE BLD
10342,391.48,1,0.48,0.48,Compost,1,0,S,MEDICAL
10342,391.48,2,0.48,0.96,Recycle,1,0,S,MEDICAL
10343,3208.23,1,6,6,Garbage,1,973.95,S,HOA
10343,3208.23,1,6,6,Garbage,1,973.95,S,HOA
10343,3208.23,1,6,6,Recycle,1,730.46,S,HOA
10343,3208.23,1,4,4,Compost,1,454.87,S,HOA
10343,3208.23,1,4,4,Recycle,1,75,S,HOA
10344,7013.3,219,0.48,105.11999999999999,Recycle,1,0,S,MOBILEHOME
10345,668.93,1,4,4,Garbage,1,668.93,S,INDUSTRIAL
10345,668.93,3,0.48,1.44,Recycle,1,0,S,INDUSTRIAL
10346,363.91,1,2,2,Garbage,1,363.91,S,WINERY
10346,363.91,1,0.48,0.48,Recycle,1,0,S,WINERY
10347,2036.81,1,4,12,Garbage,3,1970.25,S,NRSG HOME
10347,2036.81,1,4,12,Garbage,3,1970.25,S,NRSG HOME
10347,2036.81,1,4,12,Garbage,3,1970.25,S,NRSG HOME
10347,2036.81,3,0.48,1.44,Recycle,1,0,S,NRSG HOME
10347,2036.81,1,0.48,0.48,Compost,1,0,S,NRSG HOME
10347,2036.81,1,0.48,0.48,Compost,1,66.56,S,NRSG HOME
10348,1170.63,1,4,4,Garbage,1,668.93,S,MULTIFAMIL
10348,1170.63,1,4,4,Recycle,1,501.7,S,MULTIFAMIL
10349,413.91,1,2,2,Garbage,1,363.91,S,MULTIFAMIL
10349,413.91,1,0.48,0.48,Compost,1,0,S,MULTIFAMIL
10349,413.91,2,0.48,0.96,Recycle,1,0,S,MULTIFAMIL
10355,668.93,1,4,4,Garbage,1,668.93,S,OFFICE BLD
10355,668.93,2,0.48,0.96,Recycle,1,0,S,OFFICE BLD
10355,668.93,1,0.48,0.48,Compost,1,0,S,OFFICE BLD
10368,1658.21,1,4,4,Garbage,1,890.4,COUNTY,LODGING-FW
10368,1658.21,1,4,4,Recycle,1,667.81,COUNTY,LODGING-FW
10373,363.91,1,2,2,Garbage,1,363.91,S,CHURCH
10373,363.91,3,0.48,1.44,Recycle,1,0,S,CHURCH
10373,363.91,2,0.48,0.96,Recycle,1,0,S,CHURCH
10373,363.91,1,0.48,0.48,Compost,1,0,S,CHURCH
10374,363.91,1,2,2,Garbage,1,363.91,S,COMMUNITY
10374,363.91,1,0.48,0.48,Recycle,1,0,S,COMMUNITY
10374,363.91,1,0.48,0.48,Recycle,1,0,S,COMMUNITY
10378,430.47,1,2,2,Garbage,1,363.91,S,CHURCH
10378,430.47,1,0.48,0.48,Compost,1,0,S,CHURCH
10378,430.47,1,0.48,0.48,Recycle,1,0,S,CHURCH
10378,430.47,1,0.48,0.48,Compost,1,66.56,S,CHURCH
10383,2804.07,1,6,18,Garbage,3,2804.07,S,OFFICE BLD
10383,2804.07,1,6,18,Garbage,3,2804.07,S,OFFICE BLD
10383,2804.07,1,6,18,Garbage,3,2804.07,S,OFFICE BLD
10383,2804.07,1,0.48,0.48,Recycle,1,0,S,OFFICE BLD
10384,363.91,1,2,2,Garbage,1,363.91,S,CONTRACTOR
10384,363.91,2,0.48,0.96,Recycle,1,0,S,CONTRACTOR
10390,101.24,1,0.48,0.48,Recycle,1,0,Y,CHURCH
10390,101.24,1,0.48,0.48,Compost,1,0,Y,CHURCH
10394,8471.2,3,0.48,1.44,Recycle,1,0,Y,MOBILEHOME
10394,8471.2,235,0.48,112.8,Recycle,1,0,Y,MOBILEHOME
10394,8471.2,11,0.48,5.279999999999999,Compost,1,0,Y,MOBILEHOME
10395,1601.16,1,4,8,Garbage,2,1526.16,Y,LODGING
10395,1601.16,1,4,8,Garbage,2,1526.16,Y,LODGING
10395,1601.16,2,0.48,0.96,Recycle,1,0,Y,LODGING
10395,1601.16,1,4,4,Recycle,1,75,Y,LODGING
10400,101.24,1,0.48,0.48,Recycle,1,0,Y,OFFICE BLD
10403,1548.35,1,0.48,0.48,Recycle,1,0,Y,STRIP MALL
10403,1548.35,1,4,8,Recycle,2,1144.63,Y,STRIP MALL
10403,1548.35,1,4,8,Recycle,2,1144.63,Y,STRIP MALL
10410,103.93,1,0.48,0.48,Recycle,1,0,C,LODGING-FW
10410,103.93,1,0.48,0.48,Compost,1,0,C,LODGING-FW
10411,802.51,6,0.48,2.88,Recycle,1,0,C,LODGING
10411,802.51,3,0.48,1.44,Compost,1,0,C,LODGING
10411,802.51,1,6,12,Recycle,2,75,C,LODGING
10411,802.51,1,6,12,Recycle,2,75,C,LODGING
10418,101.24,1,0.48,0.48,Recycle,1,0,Y,CHURCH
10418,101.24,1,0.48,0.48,Compost,1,0,Y,CHURCH
10432,1649.14,1,4,8,Garbage,2,1580.3,Y,NRSG HOME
10432,1649.14,1,4,8,Garbage,2,1580.3,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Recycle,1,0,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Recycle,1,0,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Recycle,1,0,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Compost,1,0,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Compost,1,0,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Compost,1,0,Y,NRSG HOME
10432,1649.14,1,0.48,0.48,Compost,1,68.84,Y,NRSG HOME
10435,890.4,1,4,4,Garbage,1,890.4,COUNTY,VINEYARD
10435,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10435,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10435,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10438,1966.06,1,6,6,Garbage,1,1298.25,COUNTY,GROUP HOME
10438,1966.06,1,4,4,Recycle,1,667.81,COUNTY,GROUP HOME
10438,1966.06,1,0.48,0.48,Recycle,1,0,COUNTY,GROUP HOME
10438,1966.06,1,0.48,0.48,Recycle,1,0,COUNTY,GROUP HOME
10438,1966.06,1,0.48,0.48,Recycle,1,0,COUNTY,GROUP HOME
10439,44.86,1,0.48,0.48,Recycle,1,0,COUNTY,
10442,1585.28,1,4,4,Garbage,1,917.47,COUNTY,INDUSTRIAL
10442,1585.28,1,4,4,Recycle,1,667.81,COUNTY,INDUSTRIAL
10442,1585.28,1,0.48,0.48,Recycle,1,0,COUNTY,INDUSTRIAL
10442,1585.28,1,0.48,0.48,Recycle,1,0,COUNTY,INDUSTRIAL
10442,1585.28,1,0.48,0.48,Recycle,1,0,COUNTY,INDUSTRIAL
10445,1488.25,1,6,6,Garbage,1,1298.25,COUNTY,WINERY
10445,1488.25,1,4,4,Recycle,1,75,COUNTY,WINERY
10445,1488.25,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
10445,1488.25,1,4,4,Recycle,1,75,COUNTY,WINERY
10453,482.56,1,2,2,Garbage,1,482.56,COUNTY,MOBILEHOME
10453,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,MOBILEHOME
10453,482.56,1,0.48,0.48,Compost,1,0,COUNTY,MOBILEHOME
10453,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,MOBILEHOME
10453,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,MOBILEHOME
10459,482.56,1,2,2,Garbage,1,482.56,COUNTY,HOSPITAL
10459,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,HOSPITAL
10461,890.4,1,4,4,Garbage,1,890.4,COUNTY,WINERY
10461,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10461,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10461,890.4,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
10461,890.4,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
10471,965.4,1,4,4,Garbage,1,890.4,COUNTY,POLICEFIRE
10471,965.4,1,4,4,Recycle,1,75,COUNTY,POLICEFIRE
10471,965.4,1,0.48,0.48,Recycle,1,0,COUNTY,POLICEFIRE
10471,965.4,2,0.48,0.96,Compost,1,0,COUNTY,POLICEFIRE
10475,965.4,1,4,4,Garbage,1,890.4,COUNTY,WINERY
10475,965.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10475,965.4,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10475,965.4,1,6,6,Recycle,1,75,COUNTY,WINERY
10480,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10480,134.57,1,0.48,0.48,Compost,1,0,COUNTY,SCHOOL
10483,890.4,1,4,4,Garbage,1,890.4,COUNTY,VINEYARD
10483,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10483,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10483,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10487,482.56,1,2,2,Garbage,1,482.56,COUNTY,CHURCH
10487,482.56,3,0.48,1.44,Recycle,1,0,COUNTY,CHURCH
10487,482.56,1,0.48,0.48,Compost,1,0,COUNTY,CHURCH
10488,699.2,5,0.48,2.4,Recycle,1,0,COUNTY,SCHOOL
10488,699.2,1,0.16,0.16,Recycle,1,0,COUNTY,SCHOOL
10488,699.2,1,0.48,0.48,Compost,1,0,COUNTY,SCHOOL
10490,482.56,1,2,2,Garbage,1,482.56,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10490,482.56,4,0.16,0.64,Recycle,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Compost,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Compost,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Compost,1,0,COUNTY,SCHOOL
10490,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,SCHOOL
10492,269.14,1,0.48,0.48,Recycle,1,0,COUNTY,
10492,269.14,1,0.48,0.48,Recycle,1,0,COUNTY,
10500,363.91,1,2,2,Garbage,1,363.91,S,MINI MART
10500,363.91,3,0.48,1.44,Recycle,1,0,S,MINI MART
10503,667.81,1,4,4,Recycle,1,667.81,COUNTY,VINEYARD
10507,965.4,1,4,4,Garbage,1,890.4,COUNTY,WINERY
10507,965.4,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
10507,965.4,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
10507,965.4,1,6,6,Recycle,1,75,COUNTY,WINERY
10510,1447.1,1,4,4,Garbage,1,1447.1,COUNTY,VINEYARD
10512,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10512,134.57,1,0.48,0.48,Compost,1,0,COUNTY,WINERY
10516,890.4,1,4,4,Garbage,1,890.4,COUNTY,VINEYARD
10516,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10516,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10516,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10519,0,1,3.5,3.5,Garbage,1,0,COUNTY,WINERY
10519,0,1,3.5,3.5,Recycle,1,0,COUNTY,WINERY
10519,0,1,3.5,3.5,Recycle,1,0,COUNTY,WINERY
10521,2440.1,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10521,2440.1,1,4,4,Garbage,1,1121.14,COUNTY,WINERY
10521,2440.1,1,4,4,Compost,1,762.37,COUNTY,WINERY
10521,2440.1,1,2,2,Compost,1,406.59,COUNTY,WINERY
10521,2440.1,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10521,2440.1,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10521,2440.1,1,2,0,Garbage,0,0,COUNTY,WINERY
10521,2440.1,1,4,4,Recycle,1,75,COUNTY,WINERY
10521,2440.1,1,6,6,Recycle,1,75,COUNTY,WINERY
10522,134.57,1,0.48,0.48,Recycle,1,0,COUNTY,POSTOFFICE
10523,1708.21,1,4,4,Garbage,1,890.4,COUNTY,WINERY
10523,1708.21,3,0.48,1.44,Recycle,1,0,COUNTY,WINERY
10523,1708.21,1,4,4,Recycle,1,667.81,COUNTY,WINERY
10523,1708.21,1,4,4,Recycle,1,75,COUNTY,WINERY
10523,1708.21,1,4,4,Recycle,1,75,COUNTY,WINERY
10524,1373.25,1,6,6,Garbage,1,1298.25,COUNTY,GROCERY
10524,1373.25,1,4,4,Recycle,1,75,COUNTY,GROCERY
10525,3579.43,1,6,6,Garbage,1,2133.3,COUNTY,WINERY
10525,3579.43,1,4,4,Recycle,1,1085.33,COUNTY,WINERY
10531,2532.43,1,4,4,Garbage,1,1447.1,COUNTY,VINEYARD
10531,2532.43,1,4,4,Recycle,1,1085.33,COUNTY,VINEYARD
10532,2721.53,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10532,2721.53,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10532,2721.53,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10532,2721.53,1,4,4,Compost,1,605.47,COUNTY,WINERY
10532,2721.53,1,4,4,Recycle,1,667.81,COUNTY,WINERY
10532,2721.53,1,6,6,Garbage,1,1298.25,COUNTY,WINERY
10532,2721.53,1,4,4,Recycle,1,75,COUNTY,WINERY
10532,2721.53,1,6,6,Recycle,1,75,COUNTY,WINERY
10535,890.4,1,4,4,Garbage,1,890.4,COUNTY,VINEYARD
10535,890.4,1,0.48,0.48,Recycle,1,0,COUNTY,VINEYARD
10550,363.91,1,2,2,Garbage,1,363.91,S,AUTO
10550,363.91,3,0.48,1.44,Recycle,1,0,S,AUTO
10553,405.39,3,0.48,1.44,Recycle,1,0,S,CONTRACTOR
10553,405.39,1,0.48,0.48,Compost,1,0,S,CONTRACTOR
10553,405.39,2,0.48,0.96,Recycle,1,73.41,S,CONTRACTOR
10553,405.39,3,0.48,1.44,Compost,1,66.56,S,CONTRACTOR
10556,1197.36,1,6,6,Garbage,1,973.95,S,WINERY
10556,1197.36,1,4,8,Recycle,2,75,S,WINERY
10556,1197.36,1,4,8,Recycle,2,75,S,WINERY
10556,1197.36,1,4,4,Recycle,1,75,S,WINERY
10556,1197.36,3,0.48,1.44,Recycle,1,0,S,WINERY
10556,1197.36,1,0.48,0.48,Recycle,1,73.41,S,WINERY
10558,2327.97,1,4,12,Garbage,3,2252.97,Y,GROCERY
10558,2327.97,1,4,12,Garbage,3,2252.97,Y,GROCERY
10558,2327.97,1,4,12,Garbage,3,2252.97,Y,GROCERY
10558,2327.97,3,0.48,1.44,Recycle,1,0,Y,GROCERY
10558,2327.97,1,6,18,Recycle,3,75,Y,GROCERY
10558,2327.97,1,6,18,Recycle,3,75,Y,GROCERY
10558,2327.97,1,6,18,Recycle,3,75,Y,GROCERY
10561,1861.82,1,4,8,Garbage,2,1580.3,Y,MULTIFAMIL
10561,1861.82,1,4,8,Garbage,2,1580.3,Y,MULTIFAMIL
10561,1861.82,9,0.48,4.32,Recycle,1,0,Y,MULTIFAMIL
10561,1861.82,8,0.48,3.84,Compost,1,0,Y,MULTIFAMIL
10561,1861.82,1,0.48,0.48,Compost,1,68.84,Y,MULTIFAMIL
10561,1861.82,1,0.48,0.48,Compost,1,68.84,Y,MULTIFAMIL
10561,1861.82,1,0.48,0.48,Compost,1,68.84,Y,MULTIFAMIL
10561,1861.82,1,4,4,Recycle,1,75,Y,MULTIFAMIL
10588,482.56,1,2,2,Garbage,1,482.56,COUNTY,
10588,482.56,1,0.48,0.48,Recycle,1,0,COUNTY,
10608,1655.3,1,0.48,0.48,Compost,1,0,Y,
10608,1655.3,1,0.48,0.48,Recycle,1,0,Y,
10608,1655.3,1,4,8,Garbage,2,1580.3,Y,
10608,1655.3,1,4,8,Garbage,2,1580.3,Y,
10608,1655.3,1,4,12,Recycle,3,75,Y,
10608,1655.3,1,4,12,Recycle,3,75,Y,
10608,1655.3,1,4,12,Recycle,3,75,Y,
10613,482.56,1,2,2,Garbage,1,482.56,COUNTY,CONTRACTOR
10626,438.91,1,2,2,Garbage,1,363.91,S,HOME IMPRO
10626,438.91,1,4,8,Recycle,2,75,S,HOME IMPRO
10626,438.91,1,4,8,Recycle,2,75,S,HOME IMPRO
10628,515.46,1,2,2,Garbage,1,439.46,C,MEDICAL
10628,515.46,1,0.48,0.48,Recycle,1,0,C,MEDICAL
10628,515.46,1,0.48,0.48,Recycle,1,0,C,MEDICAL
10628,515.46,1,0.48,0.48,Recycle,1,0,C,MEDICAL
10628,515.46,1,0.48,0.48,Compost,1,0,C,MEDICAL
10628,515.46,1,0.48,0.48,Recycle,1,76,C,MEDICAL
10638,413.91,1,2,2,Garbage,1,363.91,S,OFFICE BLD
10638,413.91,3,0.48,1.44,Recycle,1,0,S,OFFICE BLD
10642,363.91,1,2,2,Garbage,1,363.91,S,LODGING
10642,363.91,2,0.48,0.96,Recycle,1,0,S,LODGING
10648,1788.94,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10648,1788.94,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10648,1788.94,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10648,1788.94,1,2,4,Garbage,2,1121.13,COUNTY,WINERY
10648,1788.94,1,2,4,Garbage,2,1121.13,COUNTY,WINERY
10648,1788.94,1,4,4,Recycle,1,667.81,COUNTY,WINERY
10669,233.06,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10730,1856.1,1,4,8,Garbage,2,1706.1,COUNTY,WINERY
10730,1856.1,1,4,8,Garbage,2,1706.1,COUNTY,WINERY
10730,1856.1,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10730,1856.1,1,0.48,0.48,Recycle,1,0,COUNTY,WINERY
10730,1856.1,1,4,4,Recycle,1,75,COUNTY,WINERY
10730,1856.1,1,4,4,Recycle,1,75,COUNTY,WINERY
10771,1040.4,1,4,4,Garbage,1,890.4,COUNTY,WINERY
10771,1040.4,1,4,4,Recycle,1,75,COUNTY,WINERY
