cust,tax_body,biz_type,total_yards,garbage,recycle,needed_recycle,compost,needed_compost,enough_recycle_compost,garbage_cost,recycle_cost,compost_cost,monthly_bill
10791,COUNTY,WINERY,1.28,0.32,0.48,0,0.48,0,1,131.25,0.0,0.0,131.25
10831,S,OFFICE BLD,4.88,2.0,1.92,1,0.96,1,0,363.91,73.41,66.56,503.88
10870,COUNTY,WINERY,14.0,4.0,10.0,2,0.0,1,0,890.4,150.0,0.0,1040.4
10922,S,OFFICE BLD,20.48,16.0,4.48,8,0.0,5,0,2557.94,75.0,0.0,1353.97
10924,COUNTY,OTHER,1.28,0.32,0.48,0,0.48,0,1,89.71,0.0,0.0,89.71
10929,COUNTY,WINERY,1.44,0.48,0.48,0,0.48,0,1,134.57,0.0,0.0,134.57
10959,COUNTY,WINERY,14.72,2.0,11.92,1,0.8,1,0,482.56,250.93,0.0,813.49
10964,S,UTILITY,8.48,4.0,4.48,2,0.0,1,0,668.93,75.0,0.0,743.93
11025,C,MULTIFAMIL,3.36,0.96,1.92,0,0.48,0,1,33.78,0.0,0.0,202.68
11049,COUNTY,WINERY,69.92,16.0,53.92,8,0.0,5,0,3412.2,625.9300000000001,0.0,2032.03
11086,COUNTY,VINEYARD,2.96,2.0,0.48,1,0.48,1,0,482.56,0.0,0.0,482.56
11110,C,MEDICAL,0.96,0.48,0.0,0,0.48,0,1,103.93,0.0,0.0,103.93
11132,C,MULTIFAMIL,5.6,0.8,2.4,0,2.4,0,1,33.78,0.0,0.0,168.9
11147,C,OTHER,213.76,30.4,92.16,15,91.2,10,1,33.78,159.5,0.0,7995.2
11157,S,RETAIL,0.16,0.16,0.0,0,0.0,0,1,32.62,0.0,0.0,32.62
11162,COUNTY,WINERY,14.720000000000002,8.0,6.400000000000001,4,0.32,3,0,2894.22,175.93,0.0,1723.97
11174,COUNTY,WINERY,6.24,4.0,1.44,2,0.8,1,0,890.4,0.0,0.0,890.4
11224,C,MULTIFAMIL,2.4,0.48,1.44,0,0.48,0,1,103.92,0.0,0.0,103.92
11255,S,SCHOOL,10.48,6.0,4.0,3,0.48,2,0,973.95,75.0,0.0,1048.95
11256,S,SCHOOL,8.96,0.0,2.4,0,6.5600000000000005,0,1,0.0,73.41,0.0,146.82
11282,S,COMMUNITY,1.76,0.48,0.48,0,0.8,0,1,97.87,0.0,0.0,97.87
11302,S,WINERY,19.92,4.0,9.44,2,6.48,1,1,668.93,150.0,662.29,1481.22
11309,COUNTY,WINERY,38.0,4.0,34.0,2,0.0,1,0,1252.72,2470.84,0.0,3698.56
11342,Y,OTHER,2.0,2.0,0.0,1,0.0,1,0,435.94,0.0,0.0,435.94
11349,COUNTY,OTHER,1.92,0.96,0.96,0,0.0,0,1,365.88,0.0,0.0,365.88
11370,COUNTY,WINERY,67.92,6.0,61.44,3,0.48,2,0,1298.25,1267.81,0.0,2266.06
11402,C,LODGING-FW,49.2,6.0,30.72,3,12.48,2,1,1188.51,454.0,0.0,2139.51
11436,S,WINERY,8.4,2.0,1.92,1,4.48,1,1,363.91,73.41,454.87,892.19
11451,C,MULTIFAMIL,5.92,4.0,0.96,2,0.96,1,0,793.4,0.0,68.91,862.31
11457,S,RETAIL,2.96,2.0,0.96,1,0.0,1,0,363.91,0.0,0.0,363.91
11474,S,COMMUNITY,0.64,0.16,0.48,0,0.0,0,1,32.62,0.0,0.0,32.62
11483,COUNTY,WINERY,41.92,16.0,24.96,8,0.96,5,0,4335.14,1215.85,72.28,3450.26
11512,S,MULTIFAMIL,2.24,0.8,0.96,0,0.48,0,1,32.62,0.0,0.0,163.1
11513,COUNTY,WINERY,11.92,4.0,7.439999999999999,2,0.48,1,0,890.4,75.0,0.0,965.4
11522,COUNTY,WINERY,3.44,2.0,1.44,1,0.0,1,0,540.19,0.0,0.0,540.19
11529,S,WINERY,3.44,2.0,1.44,1,0.0,1,0,363.91,0.0,0.0,363.91
11536,COUNTY,WINERY,5.92,0.48,5.44,0,0.0,0,1,218.71,75.0,0.0,293.71
11554,COUNTY,RESTAURANT,98.32,24.0,59.44,12,14.88,8,1,5043.58,300.0,0.0,2671.79
