COMPANY,CUST #,CYCLE,ROUTE,DAY,RTE SEQ#,QTY,SIZE,CHG CODE,FREQ,SCHEDULE,BIN #,P/U#,BIN AMT$,TAX BODY,VAR3,VAR4,FEE CODE,PRICE LIST
1,4308,CA,23,FRI,390,1,6Y,T4, ,----F--,1,1,2133.3,CC,WINERY,,,CO
1,4308,CA,64,THU,7400,2,96,CR, ,---H---,2,1,0,CC,WINERY,,,CO
1,4308,CA,64,THU,7410,1,96,CR, ,---H---,3,1,0,CC,WINERY,,,CO
1,4308,CA,64,THU,7420,1,96,CR, ,---H---,4,1,0,CC,WINERY,,,CO
1,4308,CA,CALL,SUN,100,1,4Y,GL, ,#NAME?,5,1,75,CC,WINERY,,,CO
1,4308,CA,44,WED,70,1,6Y,CB, ,--W-F--,6,2,75,CC,WINERY,,,CO
1,4308,CA,44,FRI,180,1,6Y,CB, ,--W-F--,6,2,75,CC,WINERY,,,CO
1,4420,CA,24,THU,1000,1,CT,9, ,---H---,1,1,103.93,C,LODGING-FW,,,C
1,4420,CA,64,THU,7220,1,96,CR, ,---H---,2,1,0,C,LODGING-FW,,,C
1,4420,CA,85,THU,995,1,96,CR, ,---H---,3,1,0,C,LODGING-FW,,,C
1,4445,CA,64,MON,995,1,96,CR, ,M------,1,1,0,YC,WINERY,,,CO
1,4445,CA,85,MON,1500,1,96,CG, ,M------,2,1,0,YC,WINERY,,,CO
1,4445,CA,28,MON,1610,1,CT,9, ,M------,3,1,134.57,YC,WINERY,,,CO
1,4449,CA,23,MON,630,1,2Y,T1, ,M------,1,1,540.19,SC,WINERY,,,CO
1,4449,CA,42,FRI,390,1,2Y,R1, ,----F--,2,1,405.15,SC,WINERY,,,CO
1,4454,CA,66,THU,2920,2,  ,6, ,---H---,1,1,67.56,C,SCHOOL,,,C
1,4454,CA,85,THU,4240,1,96,CG, ,---H---,2,1,0,C,SCHOOL,,,C
1,4454,CA,66,THU,2930,1,  ,0R, ,---H---,3,1,0,C,SCHOOL,,,C
1,4477,CA,62,MON,5615,1,96,CR, ,M------,1,1,0,YC,WINERY,,,CO
1,4477,CA,62,MON,5614,1,CT,9, ,M------,2,1,134.57,YC,WINERY,,,CO
1,4477,CA,62,MON,4800,1,96,CG, ,M------,3,1,0,YC,WINERY,,,CO
1,4519,TA,    ,UNR,0,1,40,RO, ,-------,1,0,0,CC,,,,CO
1,4520,CA,28,MON,6550,1,CT,9, ,M------,1,1,101.24,Y,MULTIFAMIL,,,Y
1,4520,CA,64,MON,1930,1,  ,0R, ,M------,2,1,0,Y,MULTIFAMIL,,,Y
1,4520,CA,85,MON,6115,1,  ,0G, ,M------,3,1,0,Y,MULTIFAMIL,,,Y
1,4631,CA,28,WED,4020,2,CT,9, ,--W----,1,1,134.57,AC,WINERY,,,CO
1,4631,CA,64,WED,2910,1,96,CR, ,--W----,2,1,0,AC,WINERY,,,CO
1,4631,CA,85,WED,1965,1,96,CG, ,--W----,3,1,0,AC,WINERY,,,CO
1,4631,CA,64,WED,2915,1,96,CR, ,--W----,4,1,0,AC,WINERY,,,CO
1,4631,CA,64,WED,2920,1,96,AR, ,--W----,5,1,100.93,AC,WINERY,,,CO
1,4686,CA,23,THU,310,1,2Y,T0, ,---H---,1,1,439.46,C,STRIP MALL,,,C
1,4686,CA,85,THU,2240,1,96,CG, ,---H---,2,1,0,C,STRIP MALL,,,C
1,4686,CA,64,THU,2040,3,96,CR, ,---H---,3,1,0,C,STRIP MALL,,,C
1,4780,CA,28,THU,3940,1,CT,9, ,---H---,1,1,134.57,CC,WINERY,,,CO
1,4780,CA,66,THU,3000,1,96,CR, ,---H---,2,1,0,CC,WINERY,,,CO
1,4781,CA,24,THU,430,1,CT,6, ,---H---,1,1,89.71,CC,WINERY,,,CO
