cust,monthly_bill,tax_body,biz_type,compost,garbage,recycle,total_yards,needed_recycle,needed_compost
4445,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
4445,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
4445,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
4454,135.12,C,SCHOOL,0.48,0,0.48,0.96,0.48,0.48
4454,135.12,C,SCHOOL,0.48,0,0.48,0.96,0.48,0.48
4477,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
4477,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
4477,134.57,COUNTY,WINERY,0.48,0.48,0.48,1.44,0.48,0.48
4520,101.24,Y,MULTIFAMIL,0.48,0.48,0.48,1.44,0.48,0.48
4520,101.24,Y,MULTIFAMIL,0.48,0.48,0.48,1.44,0.48,0.48
4520,101.24,Y,MULTIFAMIL,0.48,0.48,0.48,1.44,0.48,0.48
4631,370.07,COUNTY,WINERY,0.48,0.96,1.44,2.88,1.44,0.48
4631,370.07,COUNTY,WINERY,0.48,0.96,1.44,2.88,1.44,0.48
4631,370.07,COUNTY,WINERY,0.48,0.96,1.44,2.88,1.44,0.48
4631,370.07,COUNTY,WINERY,0.48,0.96,1.44,2.88,1.44,0.48
4631,370.07,COUNTY,WINERY,0.48,0.96,1.44,2.88,1.44,0.48
4686,439.46,C,STRIP MALL,0.48,2,1.44,3.92,1.44,0.48
4686,439.46,C,STRIP MALL,0.48,2,1.44,3.92,1.44,0.48
4686,439.46,C,STRIP MALL,0.48,2,1.44,3.92,1.44,0.48
4781,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
4781,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
4781,89.71,COUNTY,WINERY,0.48,0.32,0.48,1.28,0.48,0.48
4831,69.28,C,FOURPLEX,0.96,0.32,0.96,2.24,0.96,0.96
