cust,monthly_bill,cycle,qty,size,commodity,pickups,bin_amount,tax_body,biz_type
3630,134.57,CA,1,0.48,Recycle,1,0,COUNTY,VINEYARD
3723,195.74,CA,2,0.48,Garbage,1,97.87,S,MEDICAL
3723,195.74,CA,2,0.48,Recycle,1,0,S,MEDICAL
3723,195.74,CA,2,0.48,Compost,1,0,S,MEDICAL
3842,632.56,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
3842,632.56,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
3842,632.56,CA,1,0.48,Compost,1,0,COUNTY,WINERY
3842,632.56,CA,1,0.32,Compost,1,0,COUNTY,WINERY
3842,632.56,CA,1,4,Recycle,1,75,COUNTY,WINERY
3842,632.56,CA,1,6,Recycle,1,75,COUNTY,WINERY
3844,1005.67,CA,1,4,Garbage,1,1005.67,COUNTY,MIXED USE
3844,1005.67,CA,9,CO,"",1,0,COUNTY,MIXED USE
3844,1005.67,CA,1,0.48,Recycle,1,0,COUNTY,MIXED USE
3844,1005.67,CA,1,0.48,Recycle,1,0,COUNTY,MIXED USE
3844,1005.67,CA,1,0.48,Recycle,1,0,COUNTY,MIXED USE
3844,1005.67,CA,2,0.32,Compost,1,0,COUNTY,MIXED USE
4126,597.92,CA,1,2,Garbage,1,597.92,COUNTY,WINERY
4126,597.92,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
4126,597.92,CA,1,0.48,Compost,1,0,COUNTY,WINERY
4196,2798.11,CA,1,6,Garbage,1,1644.35,COUNTY,WINERY
4196,2798.11,CA,1,4,Recycle,1,840.85,COUNTY,WINERY
4196,2798.11,CA,1,0.48,Garbage,1,134.57,COUNTY,WINERY
4196,2798.11,CA,1,0.32,Compost,1,28.34,COUNTY,WINERY
4196,2798.11,CA,1,4,Recycle,1,75,COUNTY,WINERY
4196,2798.11,CA,1,6,Recycle,1,75,COUNTY,WINERY
4226,632.56,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
4226,632.56,CA,2,0.48,Recycle,1,0,COUNTY,WINERY
4226,632.56,CA,1,0.48,Compost,1,0,COUNTY,WINERY
4226,632.56,CA,1,4,Recycle,1,75,COUNTY,WINERY
4226,632.56,CA,1,6,Recycle,1,75,COUNTY,WINERY
4260,1150.37,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
4260,1150.37,CA,1,4,Recycle,1,667.81,COUNTY,WINERY
4308,2358.3,CA,1,6,Garbage,1,2133.3,COUNTY,WINERY
4308,2358.3,CA,2,0.48,Recycle,1,0,COUNTY,WINERY
4308,2358.3,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4308,2358.3,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4308,2358.3,CA,1,4,Recycle,1,75,COUNTY,WINERY
4308,2358.3,CA,1,6,Recycle,2,75,COUNTY,WINERY
4308,2358.3,CA,1,6,Recycle,2,75,COUNTY,WINERY
4420,103.93,CA,1,0.48,Garbage,1,103.93,C,LODGING-FW
4420,103.93,CA,1,0.48,Recycle,1,0,C,LODGING-FW
4420,103.93,CA,1,0.48,Recycle,1,0,C,LODGING-FW
4445,134.57,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4445,134.57,CA,1,0.48,Compost,1,0,COUNTY,WINERY
4445,134.57,CA,1,0.48,Garbage,1,134.57,COUNTY,WINERY
4449,945.34,CA,1,2,Garbage,1,540.19,COUNTY,WINERY
4449,945.34,CA,1,2,Recycle,1,405.15,COUNTY,WINERY
4454,135.12,CA,2,0.32,"",1,67.56,C,SCHOOL
4454,135.12,CA,1,0.48,Compost,1,0,C,SCHOOL
4454,135.12,CA,1,0.48,Recycle,1,0,C,SCHOOL
4477,134.57,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4477,134.57,CA,1,0.48,Garbage,1,134.57,COUNTY,WINERY
4477,134.57,CA,1,0.48,Compost,1,0,COUNTY,WINERY
4520,101.24,CA,1,0.48,Garbage,1,101.24,Y,MULTIFAMIL
4520,101.24,CA,1,0.48,Recycle,1,0,Y,MULTIFAMIL
4520,101.24,CA,1,0.48,Compost,1,0,Y,MULTIFAMIL
4631,370.07,CA,2,0.48,Garbage,1,134.57,COUNTY,WINERY
4631,370.07,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4631,370.07,CA,1,0.48,Compost,1,0,COUNTY,WINERY
4631,370.07,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4631,370.07,CA,1,0.48,Recycle,1,100.93,COUNTY,WINERY
4686,439.46,CA,1,2,Garbage,1,439.46,C,STRIP MALL
4686,439.46,CA,1,0.48,Compost,1,0,C,STRIP MALL
4686,439.46,CA,3,0.48,Recycle,1,0,C,STRIP MALL
4780,134.57,CA,1,0.48,Garbage,1,134.57,COUNTY,WINERY
4780,134.57,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4781,89.71,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
4781,89.71,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
4781,89.71,CA,1,0.48,Compost,1,0,COUNTY,WINERY
4831,69.28,CA,2,0.16,Garbage,1,34.64,C,FOURPLEX
4831,69.28,CA,2,0.48,Recycle,1,0,C,FOURPLEX
4831,69.28,CA,2,0.48,Compost,1,0,C,FOURPLEX
4845,1373.25,CA,1,6,Garbage,1,1298.25,COUNTY,UTILITY
4845,1373.25,CA,1,6,Recycle,3,75,COUNTY,UTILITY
4845,1373.25,CA,1,6,Recycle,3,75,COUNTY,UTILITY
4845,1373.25,CA,1,6,Recycle,3,75,COUNTY,UTILITY
4859,171.28,CA,1,0.48,Garbage,1,97.87,S,OFFICE BLD
4859,171.28,CA,1,0.48,Recycle,1,0,S,OFFICE BLD
4859,171.28,CA,1,0.48,Recycle,1,73.41,S,OFFICE BLD
4963,97.87,CA,1,0.48,Garbage,1,97.87,S,OFFICE BLD
4963,97.87,CA,1,0.48,Recycle,1,0,S,OFFICE BLD
5017,195.74,CA,2,0.48,Garbage,1,97.87,S,RESTAURANT
5017,195.74,CA,1,0.48,Recycle,1,0,S,RESTAURANT
5026,0,CA,1,0.48,Recycle,1,0,COUNTY,WINERY
5026,0,CA,1,3.5,Garbage,1,0,COUNTY,WINERY
5055,527.42,CA,1,0.16,Garbage,1,44.86,COUNTY,WINERY
5055,527.42,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
5055,527.42,CA,1,2,Garbage,1,482.56,COUNTY,WINERY
5212,134.57,CA,1,0.48,Garbage,1,134.57,COUNTY,LANDSCAPER
5212,134.57,CA,1,0.48,Recycle,1,0,COUNTY,LANDSCAPER
5311,358.85,CA,1,0.48,Garbage,1,134.57,COUNTY,WINERY
5311,358.85,CA,3,0.48,Recycle,1,0,COUNTY,WINERY
5311,358.85,CA,1,0.48,Garbage,1,134.57,COUNTY,WINERY
5311,358.85,CA,1,0.48,Compost,1,0,COUNTY,WINERY
5311,358.85,CA,1,0.32,Garbage,1,89.71,COUNTY,WINERY
5401,253.08,CA,1,0.48,Garbage,1,101.24,Y,WINERY
5401,253.08,CA,1,0.48,Recycle,1,0,Y,WINERY
5401,253.08,CA,1,0.48,Recycle,1,75.92,Y,WINERY
5401,253.08,CA,1,0.48,Recycle,1,75.92,Y,WINERY
5401,253.08,CA,1,0.32,Compost,1,0,Y,WINERY
5492,32.62,CA,1,0.16,Garbage,1,32.62,S,STRIP MALL
5492,32.62,CA,1,0.48,Recycle,1,0,S,STRIP MALL
5504,32.62,CA,1,0.16,Garbage,1,32.62,S,OFFICE BLD
5504,32.62,CA,1,0.48,Recycle,1,0,S,OFFICE BLD
5662,65.25,CA,1,0.32,Garbage,1,65.25,S,RETAIL
5662,65.25,CA,1,0.48,Recycle,1,0,S,RETAIL
5827,97.87,CA,1,0.48,Garbage,1,97.87,S,RETAIL
5827,97.87,CA,1,0.48,Recycle,1,0,S,RETAIL
5868,0,CA,1,3.5,Garbage,1,0,COUNTY,WINERY
5868,0,CA,1,3.5,Recycle,1,0,COUNTY,WINERY
